dataset,cadence,rule,n_true,n_cand,recall,prec
03447687_l1,15min,mad 8,21,2332,0.9047619047619048,0.008147512864493996
03447687_l1,15min,budget 175,21,167,0.6190476190476191,0.07784431137724551
03447687_l2,15min,abs 1.3,56,1301,0.9821428571428571,0.042275172943889314
03447687_l2,15min,abs 1.5,56,690,0.9821428571428571,0.07971014492753623
03447687_l2,15min,abs 1.8,56,380,0.9821428571428571,0.14473684210526316
03447687_l2,15min,abs 2.2,56,223,0.9821428571428571,0.24663677130044842
03447687_l2,15min,mad 4,56,4615,1.0,0.012134344528710726
03447687_l2,15min,mad 6,56,3160,0.9821428571428571,0.01740506329113924
03447687_l2,15min,mad 8,56,2357,0.9821428571428571,0.02333474756045821
03447687_l2,15min,budget 175,56,167,0.875,0.2934131736526946
03447687_l3,15min,abs 1.3,112,1358,0.9375,0.07731958762886598
03447687_l3,15min,abs 1.5,112,731,0.9107142857142857,0.13953488372093023
03447687_l3,15min,abs 1.8,112,417,0.8839285714285714,0.23741007194244604
03447687_l3,15min,abs 2.2,112,254,0.8125,0.35826771653543305
03447687_l3,15min,mad 4,112,4698,0.9821428571428571,0.023414218816517667
03447687_l3,15min,mad 6,112,3217,0.9732142857142857,0.033882499222878455
03447687_l3,15min,mad 8,112,2396,0.9464285714285714,0.04424040066777963
03447687_l3,15min,budget 175,112,167,0.6428571428571429,0.4311377245508982
08041770_l1,15min,abs 1.3,21,294,1.0,0.07142857142857142
08041770_l1,15min,abs 1.5,21,168,0.9523809523809523,0.11904761904761904
08041770_l1,15min,abs 1.8,21,88,0.8571428571428571,0.20454545454545456
08041770_l1,15min,abs 2.2,21,48,0.6666666666666666,0.2916666666666667
08041770_l1,15min,mad 4,21,1561,1.0,0.013452914798206279
08041770_l1,15min,mad 6,21,944,1.0,0.022245762711864406
08041770_l1,15min,mad 8,21,686,1.0,0.030612244897959183
08041770_l1,15min,budget 175,21,174,0.9523809523809523,0.11494252873563218
08041770_l2,15min,abs 1.3,56,330,1.0,0.1696969696969697
