dataset,gauge,level,median,std,mad,step_mad,window,k,thresh,n_events,detected,n_flagged,pct_flagged,n_clusters,fp_clusters
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,6h,0.5,1.5567299999999997,2,2,4156,1.971387370977535,630,628
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,6h,1.0,3.1134599999999995,2,2,1081,0.5127694292653309,258,256
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,6h,2.0,6.226919999999999,2,2,127,0.06024210686095932,42,40
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,6h,3.0,9.340379999999998,2,0,41,0.019448239222829386,11,11
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,6h,4.0,12.453839999999998,2,0,6,0.0028460837887067394,6,6
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,6h,5.0,15.567299999999998,2,0,3,0.0014230418943533697,3,3
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,6h,6.0,18.680759999999996,2,0,2,0.0009486945962355798,2,2
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,6h,8.0,24.907679999999996,2,0,2,0.0009486945962355798,2,2
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,6h,10.0,31.134599999999995,2,0,1,0.0004743472981177899,1,1
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,6h,12.0,37.36151999999999,2,0,0,0.0,0,0
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,6h,15.0,46.701899999999995,2,0,0,0.0,0,0
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,6h,20.0,62.26919999999999,2,0,0,0.0,0,0
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,12h,0.5,1.5567299999999997,2,2,1682,0.7978521554341227,209,208
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,12h,1.0,3.1134599999999995,2,2,577,0.27369839101396476,48,47
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,12h,2.0,6.226919999999999,2,0,134,0.06356253794778385,13,13
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,12h,3.0,9.340379999999998,2,0,9,0.00426912568306011,6,6
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,12h,4.0,12.453839999999998,2,0,4,0.0018973891924711596,4,4
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,12h,5.0,15.567299999999998,2,0,2,0.0009486945962355798,2,2
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,12h,6.0,18.680759999999996,2,0,2,0.0009486945962355798,2,2
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,12h,8.0,24.907679999999996,2,0,2,0.0009486945962355798,2,2
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,12h,10.0,31.134599999999995,2,0,0,0.0,0,0
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,12h,12.0,37.36151999999999,2,0,0,0.0,0,0
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,12h,15.0,46.701899999999995,2,0,0,0.0,0,0
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,12h,20.0,62.26919999999999,2,0,0,0.0,0,0
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,1h,0.5,1.5567299999999997,5,5,5305,2.5164124165148753,3019,3004
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,1h,1.0,3.1134599999999995,5,5,1813,0.8599916514875531,1435,1424
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,1h,2.0,6.226919999999999,5,3,361,0.17123937462052216,340,334
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,1h,3.0,9.340379999999998,5,3,133,0.06308819064966606,132,126
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,1h,4.0,12.453839999999998,5,2,47,0.022294323011536128,47,43
01467200_l2,01467200,l2,6.5,5.273668045627828,3.1134599999999995,0.7413,1h,5.0,15.567299999999998,5,1,13,0.006166514875531269,13,12
