dataset,window,q,thresh,n_events,detected,n_flagged,per_month
02054550_l3,12h,0.999,315.688161616155,5,0,28,1.1666666666666667
02054550_l3,12h,0.9995,417.4719628954496,5,0,2,0.08333333333333333
02054550_l3,12h,0.9999,497.1386492538588,5,0,1,0.041666666666666664
02054550_l3,12h,0.99995,506.6530686573902,5,0,1,0.041666666666666664
040851385_l1,1h,0.99,7.449999999999999,1,0,321,13.375
040851385_l1,1h,0.995,10.027041666666632,1,0,172,7.166666666666667
040851385_l1,1h,0.999,18.903074242424214,1,0,42,1.75
040851385_l1,1h,0.9995,27.47144583333332,1,0,19,0.7916666666666666
040851385_l1,1h,0.9999,42.05477916666593,1,0,9,0.375
040851385_l1,1h,0.99995,47.928199500017506,1,0,4,0.16666666666666666
040851385_l1,3h,0.99,9.642970634920639,1,0,182,7.583333333333333
040851385_l1,3h,0.995,13.231040476190499,1,0,75,3.125
040851385_l1,3h,0.999,24.77799444444455,1,0,8,0.3333333333333333
040851385_l1,3h,0.9995,32.09874977124209,1,0,6,0.25
040851385_l1,3h,0.9999,54.13737601550702,1,0,3,0.125
040851385_l1,3h,0.99995,66.65011692859365,1,0,1,0.041666666666666664
040851385_l1,6h,0.99,13.99730831172769,1,0,144,6.0
040851385_l1,6h,0.995,19.445155874702,1,0,46,1.9166666666666667
040851385_l1,6h,0.999,30.32272104018907,1,0,6,0.25
040851385_l1,6h,0.9995,40.61050927230044,1,0,3,0.125
040851385_l1,6h,0.9999,56.639098774206836,1,0,1,0.041666666666666664
040851385_l1,6h,0.99995,69.0083478712182,1,0,1,0.041666666666666664
040851385_l1,12h,0.99,21.062056516636055,1,0,123,5.125
040851385_l1,12h,0.995,28.383811465867787,1,0,75,3.125
040851385_l1,12h,0.999,40.71008077191684,1,0,5,0.20833333333333334
040851385_l1,12h,0.9995,46.60021676588972,1,0,2,0.08333333333333333
040851385_l1,12h,0.9999,63.61968847290005,1,0,1,0.041666666666666664
040851385_l1,12h,0.99995,69.40337174762384,1,0,1,0.041666666666666664
040851385_l2,1h,0.99,7.574999999999996,2,0,312,13.0
040851385_l2,1h,0.995,10.33333333333333,2,0,162,6.75
040851385_l2,1h,0.999,20.547359848485087,2,0,34,1.4166666666666667
040851385_l2,1h,0.9995,27.483333333333327,2,0,21,0.875
040851385_l2,1h,0.9999,42.057479166666845,2,0,9,0.375
040851385_l2,1h,0.99995,47.94450750000105,2,0,4,0.16666666666666666
040851385_l2,3h,0.99,9.892416666666646,2,0,173,7.208333333333333
040851385_l2,3h,0.995,13.265235679998513,2,0,75,3.125
040851385_l2,3h,0.999,24.781561111111333,2,0,8,0.3333333333333333
040851385_l2,3h,0.9995,32.100225392156965,2,0,6,0.25
040851385_l2,3h,0.9999,54.163379926513755,2,0,3,0.125
040851385_l2,3h,0.99995,66.66785005555184,2,0,1,0.041666666666666664
040851385_l2,6h,0.99,14.005992370892038,2,0,145,6.041666666666667
040851385_l2,6h,0.995,19.38981600340534,2,0,46,1.9166666666666667
040851385_l2,6h,0.999,30.329726179463755,2,0,6,0.25
040851385_l2,6h,0.9995,40.615850312989274,2,0,3,0.125
040851385_l2,6h,0.9999,56.675619269425084,2,0,1,0.041666666666666664
040851385_l2,6h,0.99995,69.01574725758628,2,0,1,0.041666666666666664
040851385_l2,12h,0.99,20.9813649424673,2,0,121,5.041666666666667
040851385_l2,12h,0.995,28.1642153106965,2,0,72,3.0
040851385_l2,12h,0.999,40.690339655642504,2,0,4,0.16666666666666666
040851385_l2,12h,0.9995,47.18925844988534,2,0,2,0.08333333333333333
040851385_l2,12h,0.9999,63.636111301831555,2,0,1,0.041666666666666664
040851385_l2,12h,0.99995,69.40592802649792,2,0,1,0.041666666666666664
040851385_l3,1h,0.99,7.899999999999996,8,3,319,13.291666666666666
040851385_l3,1h,0.995,10.608833333333317,8,1,174,7.25
040851385_l3,1h,0.999,20.132881818181737,8,0,41,1.7083333333333333
040851385_l3,1h,0.9995,29.860700000001334,8,0,21,0.875
040851385_l3,1h,0.9999,42.0618166666655,8,0,9,0.375
040851385_l3,1h,0.99995,47.97070600001491,8,0,4,0.16666666666666666
040851385_l3,3h,0.99,9.904815233785826,8,2,176,7.333333333333333
040851385_l3,3h,0.995,13.460662745098052,8,1,81,3.375
040851385_l3,3h,0.999,25.104805238094478,8,0,9,0.375
040851385_l3,3h,0.9995,32.102583627451104,8,0,6,0.25
040851385_l3,3h,0.9999,54.204937578681104,8,0,3,0.125
040851385_l3,3h,0.99995,66.69618991269023,8,0,1,0.041666666666666664
040851385_l3,6h,0.99,13.817582263186965,8,1,150,6.25
040851385_l3,6h,0.995,19.66309207516338,8,0,45,1.875
040851385_l3,6h,0.999,32.343160602503616,8,0,5,0.20833333333333334
040851385_l3,6h,0.9995,43.485475841158525,8,0,3,0.125
040851385_l3,6h,0.9999,56.734294377837436,8,0,1,0.041666666666666664
040851385_l3,6h,0.99995,69.02763537121575,8,0,1,0.041666666666666664
040851385_l3,12h,0.99,21.303713803336137,8,0,127,5.291666666666667
040851385_l3,12h,0.995,29.005654659942188,8,0,77,3.2083333333333335
040851385_l3,12h,0.999,41.91336808377775,8,0,4,0.16666666666666666
040851385_l3,12h,0.9995,47.222328517582376,8,0,3,0.125
040851385_l3,12h,0.9999,63.6624189614711,8,0,1,0.041666666666666664
040851385_l3,12h,0.99995,69.41002291871729,8,0,1,0.041666666666666664
